subject_id,window_start,window_stop,activity_name,f_00,f_01,f_02,f_03,f_04,f_05,f_06,f_07,f_08,f_09,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,kmeans_cluster,risk_score,strain_band,dbscan_cluster,is_anomaly,anomaly_score,pca_1,pca_2,tsne_1,tsne_2,review_note
subject101,0,200,lying,-1.5613791235000003,3.13560212668523,3.5028424834945926,7.676235185,2.931886630222414,8.217088646711128,3.3184271475000005,2.8170885851567573,4.3529239402826105,0.03212859835000001,0.7833772237541489,0.7840357909742982,-0.14485631780000002,0.7465203847263071,0.7604446315271666,-0.180893986525,0.9061526546542136,0.9240320708166926,-0.8911295124999999,1.4810095860932142,1.7284389494999473,8.89604355,1.6434791888633387,9.046580275867974,-2.76995464,2.3216759619970397,3.61425344714125,0.06703093854,0.3342367768778634,0.34089202064474305,-0.11036028346000001,0.3657767125798781,0.3820628163419129,0.049865818405000005,0.20398851716753513,0.2099950356113454,9.720994150000001,0.20919005438184077,9.723244712707096,-0.9178556059999999,0.8750424972193824,1.2681318091608458,-0.3478207294,0.9641681422355914,1.024987544462068,2,2.3610433681461402,low_strain,0,False,0.4111890109547703,-0.9995679287914692,-0.5742324185062632,-10.058544158935547,-15.511148452758789,Typical motion signature for its cluster.
subject101,100,300,lying,-2.305221616,3.7453167487325456,4.397890886232875,5.892642945,3.4298776799740325,6.81815970602349,4.619756413000001,3.5170576505815867,5.806190130625167,0.1141320766,0.6760067705280363,0.6855736902104496,-0.40034780408000004,0.6336102231315677,0.749493348261686,-0.11971886881499998,0.9533078120245609,0.9607957077430138,0.5366050765000001,1.7776336799324337,1.8568593129679203,6.7136503,3.007123770344166,7.356350570823756,0.6975524365000001,6.243515282725715,6.282361219103581,-0.18503750021,0.6024442388138133,0.6302205466056471,-0.20059389014,0.3727724469543478,0.4233169096195313,0.13863139395000001,0.2863157382650392,0.31811218990597406,6.1091045695,4.458091559955264,7.562786457254372,-4.128766901,4.1942660839055215,5.885455301452328,-2.4983588144,2.198541103044696,3.3279693128493775,0,3.0850182326248556,medium_strain,-1,False,0.474931155590835,-0.1839776187492447,2.255570883105016,-7.835214614868164,-17.284890174865723,Typical motion signature for its cluster.
subject101,200,400,lying,-0.8342653594999999,2.820625665352924,2.941415957342533,5.24151681,1.9351014230081907,5.58731742313258,7.465111255500001,1.5286931831727728,7.620025518675885,0.047518189509999996,0.33864221817553325,0.3419598372106785,-0.128104819405,0.2914112545926555,0.31832587714173216,0.112185840235,0.3498953306323821,0.36744034229732714,1.2472243650000001,0.8867621610913784,1.5303319074609616,3.6183721,2.6368569639266726,4.477234783018085,7.3812646365,4.156284746842204,8.470995840565537,-0.25136986425,0.4730600414243784,0.535698246632839,-0.04828012044999999,0.2168517037420267,0.222161273507527,0.04514697458,0.25254270106975946,0.2565464191473681,0.9620458395,3.0558512634138557,3.2037102149550476,-7.99544416,1.8597968160344007,8.20889587658473,-5.09489675,1.3215456121503857,5.263502227429423,2,2.563793698727544,low_strain,-1,True,0.5169273199889729,-3.234508899656246,4.889424451305498,-5.611885070800781,-19.058631896972656,Flag for manual review.
subject101,300,500,lying,3.1242279600000002,2.88843266562023,4.254861173982971,5.24102092,0.7702666933605746,5.297321121357311,7.0073292,1.0773594255518257,7.089666130996438,0.048203666924999986,0.33374876686170024,0.33721185164036255,-0.012687021649999998,0.15267589119375144,0.15320211574959985,0.08531695913,0.3659751095304081,0.37578819075509057,0.9830989249999998,0.16497713720100546,0.996845500634474,1.95059125,0.2930441739003482,1.9724809536300978,9.410297499999999,0.17881654519576762,9.411996302344258,0.00030892421799999915,0.05463032542385547,0.054631198871055504,-0.008249451773650001,0.04536653264643686,0.046110473202147895,-0.01190052455,0.04598899890171536,0.047503794633135664,-0.6002736550000001,0.06425952482633197,0.6037033604494554,-8.01162805,0.17994375744019991,8.013648592706602,-6.1276537499999995,0.2503159000272206,6.132764346499505,2,1.9745974429029371,low_strain,1,True,0.5026910807761863,-5.6824417304202814,5.080934322420473,-12.620421091715496,-0.304169972737629,Flag for manual review.
subject101,400,600,lying,6.016645315000001,0.7158059058735097,6.059075749765375,4.83144502,0.5772420628397411,4.86580613880108,5.948411150000001,0.45640944095316166,5.965895137130345,0.059145526284,0.3233172275831215,0.3286825564757693,-0.0137891266935,0.15068282609758282,0.1513124386682198,0.07890662376499999,0.36239251601974676,0.3708835274599206,1.01757318,0.09805666692105948,1.0222867927264736,1.8481233000000001,0.09987080783246925,1.8508197941074653,9.419774050000001,0.14053131630030902,9.420822267929404,0.00042625362300000025,0.027230423674892,0.027233759668199315,-0.006722691243650001,0.03190655413369338,0.03260709699197024,-0.011619547195000001,0.02059649916902208,0.023648037022898107,-0.60826976,0.058069522270829815,0.6110353265951324,-7.83786555,0.0790278056047205,7.838263951535154,-6.3618952,0.11594693121838111,6.3629516913647866,2,1.8841086108228138,low_strain,1,False,0.4853285765151512,-5.972610508399741,4.935174800286784,-19.62895711263021,18.450291951497398,Typical motion signature for its cluster.
subject101,500,700,lying,6.100230499999999,0.09447264021794882,6.100961992413983,4.9560103,0.09990505962617709,4.957017159002478,5.8441725,0.12037257024650595,5.845412027002374,0.005889776569,0.024144011331131525,0.02485201704470985,0.0019989682265,0.024414712308690693,0.024496408942673402,-0.007546324494999999,0.015205521208065936,0.016975125584006143,1.04357552,0.09155967744465683,1.0475843834637093,1.8605365999999999,0.09487275667671936,1.8629539124463064,9.4025869,0.13692546105962175,9.403583837768343,0.003641335799999999,0.024876298856391824,0.025141391592369795,-0.00585094287,0.03137216006737104,0.03191310012770233,-0.013179498199999999,0.01842258742502968,0.022651509888673312,-0.60709792,0.050606655705881215,0.6092035112095628,-7.792154849999999,0.07078063276756927,7.792476314006575,-6.42776885,0.10413785106855963,6.428612376015177,2,1.7944752318872883,low_strain,1,False,0.454997839167056,-6.380464662452708,4.865596721669763,-26.637493133544922,37.20475387573242,Typical motion signature for its cluster.
subject101,600,800,lying,6.07739435,0.09883134891610808,6.078197900771289,5.01986225,0.09622161834763278,5.020784361911244,5.81513455,0.11296065206875139,5.8162315930093005,0.003824026665,0.02527235821976327,0.025560032666697968,0.004391927245,0.021721339884098332,0.022160903214578014,-0.008745270295,0.015781571355976534,0.018042664631267424,1.053453385,0.08592763692402332,1.056952029732336,1.8678363999999998,0.09218461670495788,1.8701098418868343,9.4009996,0.1262913109633438,9.401847848929753,0.00441158846,0.024948534020970085,0.02533557701209718,-0.00857344554,0.028550451743451718,0.029809935645393654,-0.012916781794999999,0.016897046603503208,0.021268602113458296,-0.610045255,0.05093534110880161,0.6121679688793632,-7.7544266,0.07062122866702333,7.754748174681497,-6.466043749999999,0.10221958038183049,6.466851677557441,2,1.7946524881299746,low_strain,1,False,0.45155008194002433,-6.3790162333304865,4.857670335071973,-26.645445823669434,37.204837799072266,Typical motion signature for its cluster.
subject101,700,900,lying,6.0558141,0.09442821743626212,6.056550264136095,5.0649888,0.09625981247935195,5.065903423440285,5.7934911,0.10506693048619056,5.794443733928305,0.0029012225650000005,0.027256716176462442,0.027410685308760428,0.006373397840499999,0.02165748446560607,0.022575801943923456,-0.008179463279500001,0.016041255025761515,0.01800626230904704,1.05691867,0.08751529925522222,1.0605357149093566,1.8867362,0.09144266338837687,1.8889508328905757,9.4133916,0.11887659906154793,9.414142184009917,0.0031443284650000004,0.023937676451084293,0.0241433045661236,-0.009395523285,0.025232144134086146,0.026924653301431296,-0.012070533809999999,0.016943511443042913,0.020803373920565846,-0.6078308,0.05450385237503859,0.6102695726909215,-7.721135300000001,0.07247367192925992,7.721475425981034,-6.49960775,0.10564817326124241,6.5004663248395875,2,1.7956316358568647,low_strain,1,False,0.45292748862414545,-6.378202008207082,4.850501725320036,-26.653398513793945,37.20492172241211,Typical motion signature for its cluster.
subject101,800,1000,lying,6.0441511000000006,0.08875023749145688,6.044802653874318,5.10750885,0.0968563715208117,5.108427136559011,5.7860524,0.10816338018127947,5.787063304678635,0.00044982363,0.02633798885004021,0.026341829814250733,0.00824561937,0.022362625482604113,0.023834371342037405,-0.005915817154500001,0.016051672495670365,0.01710710619928856,1.071441195,0.0845176937540121,1.07476949849748,1.9186861,0.08913070664922386,1.920755224697046,9.412001600000002,0.1330755031455452,9.412942324689979,0.0015099982749999998,0.02497735419144861,0.02502295580453234,-0.00909017281,0.026660018858561337,0.028167141268764025,-0.012645255364999998,0.017259847666754844,0.02139637410230163,-0.59703645,0.05265106800918192,0.5993535330596709,-7.70600615,0.0742342290636705,7.706363701811802,-6.5240949499999985,0.10503406602620645,6.524940388359231,2,1.7986131754806394,low_strain,1,False,0.45160343604800274,-6.366670251615037,4.846663160340531,-26.655677159627277,37.206363677978516,Typical motion signature for its cluster.
subject101,900,1100,lying,6.01578275,0.09708836453426073,6.016566150698046,5.11785495,0.08806052441927373,5.118612501957977,5.79367495,0.10714247696407575,5.7946655586519835,-0.000864500505,0.02444743575285231,0.024462716039168393,0.007264180263,0.021783121444157807,0.022962419183184653,-0.006541227840999999,0.015789752440639616,0.017091048645550052,1.082786285,0.08346617132062412,1.085998499418404,1.9324225000000002,0.08918391012817278,1.934479384312999,9.3885425,0.1334429351286535,9.389490789773532,0.00046401877999999977,0.02467930135616197,0.024683663197678958,-0.0086010229215,0.02734625887001377,0.028666975241241885,-0.013139535424999998,0.018448965114482473,0.02264976169808904,-0.593417775,0.04970929701247419,0.595496154391802,-7.69695015,0.0696605562314679,7.697265371849895,-6.5432158000000005,0.10386358374021183,6.544040086169781,2,1.7981282473680409,low_strain,1,False,0.4540837218265396,-6.363769690105857,4.840439118726483,-26.657955805460613,37.20780563354492,Typical motion signature for its cluster.
